RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-1,Aluno-1,7,Quartzo,4.1,5.6,,7.278,19,6
RA-1,Aluno-1,FASE 8,,,,,,20,7
RA-1,Aluno-1,8E,,0.0,,,,21,3
RA-10,Aluno-10,7,Quartzo,5.2,5.0,,7.056,18,1
RA-100,Aluno-100,4,Ametista,7.8,5.0,,7.25,13,3
RA-1000,Aluno-1000,ALFA,Ametista,9.4,3.77,6.25,8.92,8,0
RA-1000,Aluno-1000,1N,Topázio,9.5454545455,6.26,8.125,7.835,9,1
RA-1001,Aluno-1001,ALFA,Topázio,9.1,7.52,7.5,9.17,9,0
RA-1001,Aluno-1001,1N,Ametista,9.347826087,7.51,7.916666667,7.92,10,1
RA-1002,Aluno-1002,ALFA,Ametista,9.7,7.52,6.25,8.92,9,0
RA-1002,Aluno-1002,ALFA,Ametista,7.833333333500001,7.51,7.5,8.25,10,1
RA-1003,Aluno-1003,ALFA,Ametista,8.5,7.52,7.5,8.75,8,0
RA-1003,Aluno-1003,ALFA,Ametista,8.6944444445,7.51,6.875,7.5,9,1
RA-1004,Aluno-1004,ALFA,Topázio,9.6,7.52,6.875,7.42,9,0
RA-1004,Aluno-1004,ALFA,Ametista,9.25,7.51,7.5,7.5,10,1
RA-1005,Aluno-1005,ALFA,Topázio,7.9,7.52,7.5,8.165,8,0
RA-1006,Aluno-1006,ALFA,Topázio,9.3,7.52,7.5,8.0,8,0
RA-1006,Aluno-1006,ALFA,Ametista,8.4444444445,7.51,7.5,7.5,9,1
RA-1007,Aluno-1007,ALFA,Topázio,7.4,7.52,7.5,7.68,8,0
RA-1008,Aluno-1008,ALFA,Topázio,8.6,7.52,5.9375,7.5,8,0
RA-1008,Aluno-1008,ALFA,Agata,6.483957219,7.51,7.1875,7.5,9,1
RA-1009,Aluno-1009,ALFA,Ametista,9.0,3.77,7.5,7.84,8,0
RA-1009,Aluno-1009,ALFA,Agata,6.8863636365000005,2.51,6.5625,6.553333333,9,1
RA-101,Aluno-101,4,Ametista,8.3,7.5,,6.833,15,1
RA-1010,Aluno-1010,ALFA,Topázio,10.0,3.77,7.8125,8.59,8,0
RA-1011,Aluno-1011,ALFA,Ametista,8.6,3.77,7.1875,7.675,8,0
RA-1012,Aluno-1012,ALFA,Ametista,9.9,3.77,7.1875,7.845,8,0
RA-1012,Aluno-1012,ALFA,Topázio,9.523809524,2.51,8.125,8.443333333,9,1
RA-1013,Aluno-1013,ALFA,Ametista,9.6,4.39,5.625,5.76,8,0
RA-1013,Aluno-1013,ALFA,Quartzo,5.6937799039999994,2.51,5.0,4.72,9,1
RA-1014,Aluno-1014,ALFA,Topázio,9.7,3.77,7.5,8.255,7,0
RA-1014,Aluno-1014,ALFA,Agata,7.8863636365000005,2.51,6.875,7.0,8,1
RA-1015,Aluno-1015,FASE 1,Ametista,9.3,6.27,7.34375,7.786666667,10,0
RA-1015,Aluno-1015,2B,Agata,7.8214285715,7.51,6.041666667,5.66,11,1
RA-1016,Aluno-1016,FASE 1,Ametista,9.5,7.52,7.34375,7.73,10,0
RA-1017,Aluno-1017,FASE 1,Agata,8.0,5.02,7.5,8.116666667,11,0
RA-1017,Aluno-1017,2C,Ametista,7.8095238095,6.26,7.1875,7.443333333,12,1
RA-1018,Aluno-1018,FASE 1,Agata,8.5,5.02,7.5,8.06,10,0
RA-1018,Aluno-1018,1A,Ametista,7.727272727,6.26,8.4375,8.45,11,1
RA-1019,Aluno-1019,FASE 1,Ametista,9.1,5.02,6.875,7.836666667,8,0
RA-1019,Aluno-1019,1A,Topázio,9.3073593075,6.26,7.8125,8.616666667,9,1
RA-102,Aluno-102,4,Ágata,7.7,6.9,,6.0,14,3
RA-1020,Aluno-1020,FASE 1,Ametista,9.1,2.52,7.1875,8.056666667,9,0
RA-1020,Aluno-1020,1A,Topázio,9.7727272725,6.88,8.4375,8.84,10,1
RA-1021,Aluno-1021,FASE 1,Agata,9.2,3.77,7.1875,7.893333333,9,0
RA-1021,Aluno-1021,1A,Topázio,9.318181818,7.51,8.4375,7.95,10,1
RA-1022,Aluno-1022,FASE 1,Ametista,8.5,3.77,7.1875,7.893333333,9,0
RA-1022,Aluno-1022,1A,Ametista,9.318181818,6.26,7.5,8.116666667,10,1
RA-1023,Aluno-1023,FASE 1,Topázio,10.0,6.27,8.75,9.06,9,0
RA-1023,Aluno-1023,2B,Topázio,9.511904762,9.375,8.958333333,9.563333333,10,1
RA-1024,Aluno-1024,FASE 1,Ametista,10.0,6.27,9.21875,8.95,10,0
RA-1024,Aluno-1024,1B,Topázio,10.0,7.51,8.4375,8.783333333,11,1
RA-1025,Aluno-1025,FASE 1,Topázio,8.9,7.52,7.65625,7.836666667,10,0
RA-1025,Aluno-1025,1A,Ametista,7.727272727,7.51,8.4375,7.783333333,11,1
RA-1026,Aluno-1026,FASE 1,Agata,9.8,7.52,6.40625,7.06,14,0
RA-1027,Aluno-1027,FASE 1,Ametista,9.7,7.52,7.5,8.333333333,10,0
RA-1027,Aluno-1027,2B,Topázio,10.0,7.51,7.916666667,8.39,11,1
RA-1028,Aluno-1028,FASE 1,Agata,9.2,7.52,7.34375,7.946666667,11,0
RA-1028,Aluno-1028,1B,Ametista,7.055335968,5.63,6.875,8.393333333,12,1
RA-1029,Aluno-1029,FASE 1,Ametista,6.3,3.77,7.5,8.006666667,9,0
RA-1029,Aluno-1029,1C,Ametista,8.7954545455,6.885,7.5,7.25,10,1
RA-103,Aluno-103,4,Topázio,8.7,7.5,,7.708,13,2
RA-103,Aluno-103,FASE 5,Topázio,9.2,5.0,8.125,8.09,14,3
RA-103,Aluno-103,5A,Topázio,9.603174603333335,6.26,7.875,8.872,15,3
RA-1030,Aluno-1030,FASE 1,Ametista,9.7,3.77,6.875,8.39,11,0
RA-1030,Aluno-1030,2D,Ametista,8.28320802,4.385,7.8125,7.61,12,1
RA-1031,Aluno-1031,FASE 1,Ametista,8.8,7.52,6.666666667,7.006666667,10,0
RA-1031,Aluno-1031,1C,Agata,8.6363636365,7.51,5.3125,5.83,11,1
RA-1032,Aluno-1032,FASE 1,Ametista,9.5,7.52,7.291666667,7.563333333,10,0
RA-1032,Aluno-1032,1C,Topázio,9.75,7.51,7.8125,7.92,11,1
RA-1033,Aluno-1033,FASE 1,Topázio,8.9,7.52,8.125,9.006666667,11,0
RA-1034,Aluno-1034,FASE 1,Ametista,9.0,7.52,8.333333333,8.393333333,10,0
RA-1034,Aluno-1034,2B,Topázio,8.0833333335,7.51,7.708333333,8.223333333,11,1
RA-1035,Aluno-1035,FASE 1,Agata,8.3,7.52,7.708333333,7.78,9,0
RA-1035,Aluno-1035,1C,Ametista,9.0227272725,7.51,8.4375,7.92,10,1
RA-1036,Aluno-1036,FASE 1,Agata,9.6,3.77,9.0625,8.336666667,11,0
RA-1036,Aluno-1036,2H,Topázio,9.0890269155,7.51,7.65625,7.7475,12,1
RA-1037,Aluno-1037,FASE 1,Ametista,8.4,7.52,8.59375,8.17,11,0
RA-1038,Aluno-1038,FASE 1,Ametista,9.3,7.52,8.90625,8.17,10,0
RA-1038,Aluno-1038,2I,Ametista,7.5438596495,7.51,7.5,7.273333333,11,1
RA-1039,Aluno-1039,FASE 1,Ametista,9.9,7.52,8.125,8.056666667,12,0
RA-1039,Aluno-1039,2I,Ametista,9.722222222,7.51,7.5,6.77,13,1
RA-104,Aluno-104,4,Ágata,8.7,7.5,,6.708,18,0
RA-104,Aluno-104,FASE 5,Quartzo,7.7,2.52,5.625,5.6275,19,1
RA-1040,Aluno-1040,FASE 1,Ametista,9.3,7.52,7.8125,8.06,12,0
RA-1040,Aluno-1040,2I,Ametista,8.5416666665,7.51,7.5,7.273333333,13,1
RA-1041,Aluno-1041,FASE 1,Agata,7.2,7.52,7.8125,8.003333333,10,0
RA-1042,Aluno-1042,FASE 1,Quartzo,6.5,3.77,7.708333333,7.666666667,10,0
RA-1043,Aluno-1043,FASE 1,Agata,7.9,6.27,7.708333333,7.833333333,10,0
RA-1043,Aluno-1043,1H,Ametista,7.994071146,7.51,7.291666667,6.553333333,11,1
RA-1044,Aluno-1044,FASE 1,Ametista,9.7,7.52,7.5,8.336666667,10,0
RA-1044,Aluno-1044,2G,Ametista,9.523809524,7.51,7.1875,7.21,11,1
RA-1045,Aluno-1045,FASE 1,Topázio,9.4,7.52,7.708333333,8.28,11,0
RA-1046,Aluno-1046,FASE 1,Agata,8.5,3.77,8.541666667,8.223333333,9,0
RA-1047,Aluno-1047,FASE 1,Ametista,8.5,3.77,8.125,7.893333333,9,0
RA-1048,Aluno-1048,FASE 1,Ametista,9.5,3.77,8.541666667,8.5,10,0
RA-1048,Aluno-1048,2A,Ametista,6.833333333500001,6.255,7.708333333,8.283333333,11,1
RA-1049,Aluno-1049,FASE 1,Ametista,7.7,7.52,8.125,7.943333333,10,0
RA-1049,Aluno-1049,1J,Agata,8.03030303,7.51,7.65625,6.745,11,1
RA-105,Aluno-105,4,Ágata,8.2,5.6,,7.417,17,6
RA-1050,Aluno-1050,FASE 1,Ametista,9.2,6.27,8.125,8.223333333,11,0
RA-1051,Aluno-1051,FASE 1,Topázio,8.9,6.27,8.75,8.613333333,9,0
RA-1052,Aluno-1052,FASE 1,Agata,9.0,7.52,7.916666667,7.833333333,9,0
RA-1052,Aluno-1052,1J,Ametista,9.128787879,6.26,8.59375,8.4975,10,1
RA-1053,Aluno-1053,FASE 1,Ametista,9.1,6.27,8.958333333,8.616666667,9,0
RA-1054,Aluno-1054,FASE 1,Ametista,8.6,7.52,7.5,7.836666667,13,0
RA-1054,Aluno-1054,2G,Agata,7.3291925465,7.51,7.1875,6.75,14,1
RA-1055,Aluno-1055,FASE 1,Quartzo,7.2,7.52,7.291666667,7.276666667,11,0
RA-1055,Aluno-1055,1J,Agata,5.7954545455,7.51,7.1875,5.87,12,1
RA-1056,Aluno-1056,FASE 1,Topázio,9.6,7.52,7.96875,8.113333333,9,0
RA-1056,Aluno-1056,1L,Topázio,9.2857142855,7.51,9.166666667,8.335,10,1
RA-1057,Aluno-1057,FASE 1,Topázio,10.0,7.52,8.125,8.34,9,0
RA-1057,Aluno-1057,1L,Topázio,10.0,6.26,8.75,8.17,10,1
RA-1058,Aluno-1058,FASE 1,Ametista,8.7,3.14,7.083333333,7.62,9,0
RA-1058,Aluno-1058,1K,Ametista,8.095238095,6.88,8.125,8.085,10,1
RA-1059,Aluno-1059,FASE 1,Ametista,9.8,2.52,7.96875,8.673333333,10,0
RA-1059,Aluno-1059,2M,Topázio,10.0,6.26,9.0625,9.23,11,1
RA-106,Aluno-106,4,Ametista,8.0,9.4,,8.375,15,6
RA-106,Aluno-106,FASE 5,Ametista,9.1,5.0,7.03125,7.5075,16,7
RA-106,Aluno-106,6A,Ametista,8.761904762,5.635,7.8125,7.872,17,3
RA-1060,Aluno-1060,FASE 1,Ametista,8.6,3.14,7.96875,8.673333333,11,0
RA-1060,Aluno-1060,2M,Agata,6.0,6.26,7.8125,6.163333333,12,1
RA-1061,Aluno-1061,FASE 1,Topázio,9.7,3.14,8.75,8.836666667,10,0
RA-1061,Aluno-1061,2M,Topázio,10.0,6.26,8.4375,8.73,11,1
RA-1062,Aluno-1062,FASE 1,Ametista,7.7,3.77,8.59375,8.503333333,9,0
RA-1062,Aluno-1062,1L,Ametista,9.047619048,5.63,8.75,8.085,10,1
RA-1063,Aluno-1063,FASE 1,Ametista,9.5,7.52,6.40625,7.89,11,0
RA-1063,Aluno-1063,2N,Ametista,9.75,7.51,7.8125,6.11,12,1
RA-1064,Aluno-1064,FASE 1,Topázio,9.8,7.52,9.375,8.84,10,0
RA-1064,Aluno-1064,2N,Topázio,9.7368421055,7.51,8.75,8.783333333,11,1
RA-1065,Aluno-1065,FASE 1,Topázio,9.6,7.52,8.4375,8.84,10,0
RA-1065,Aluno-1065,2N,Topázio,8.8152173915,6.26,9.0625,8.84,11,1
RA-1066,Aluno-1066,FASE 1,Ametista,6.6,7.52,8.4375,8.783333333,10,0
RA-1066,Aluno-1066,2L,Ametista,8.3954451345,6.26,7.5,7.386666667,11,1
RA-1067,Aluno-1067,FASE 1,Agata,7.9,7.52,8.28125,9.006666667,10,0
RA-1067,Aluno-1067,1K,Ametista,8.333333332999999,7.51,8.541666667,8.59,11,1
RA-1068,Aluno-1068,FASE 1,Topázio,9.3,6.89,9.166666667,9.283333333,10,0
RA-1068,Aluno-1068,2R,Topázio,9.068181818,7.51,8.541666667,8.73,11,1
RA-1069,Aluno-1069,FASE 1,Ametista,7.8,7.52,8.125,8.226666667,11,0
RA-1069,Aluno-1069,2K,Ametista,7.0760869565,7.51,8.125,7.75,12,1
RA-107,Aluno-107,4,Ágata,6.4,7.5,,6.5,15,4
RA-107,Aluno-107,FASE 5,Agata,8.5,5.0,7.34375,7.5875,16,5
RA-107,Aluno-107,5D,Agata,7.9949874686666655,7.51,7.5,6.964,17,3
RA-1070,Aluno-1070,FASE 1,Agata,7.8,3.14,7.708333333,8.67,11,0
RA-1070,Aluno-1070,1P,Agata,9.3073593075,5.635,6.875,6.6225,12,1
RA-1071,Aluno-1071,FASE 1,Agata,8.6,7.52,5.625,6.396666667,11,0
RA-1071,Aluno-1071,2R,Quartzo,4.188311688500001,7.51,4.166666667,2.996666667,12,1
RA-1072,Aluno-1072,FASE 2,Topázio,8.6,5.0,8.125,8.7125,12,0
RA-1072,Aluno-1072,3B,Ametista,5.627886710333333,8.755,7.96875,7.545,13,1
RA-1073,Aluno-1073,FASE 2,Agata,8.8,2.52,8.333333333,9.045,12,0
